text,true,pred,text_len_words
Carl Icahn says his firm sold remainder of Netflix stake,neutral,negative,10
"Nifty, Sensex turn choppy; metals lead the decline",neutral,negative,8
Rashtriya Ispat Nigam Limited to go ahead with IPO plan despite damage by Hudhud: CMD P Madhusudan,neutral,negative,17
"Maruti, BoB may be among MSCI India index picks",neutral,positive,9
Piramal to acquire 10% stake in Shriram City for Rs 790 cr,neutral,positive,12
"Euro wobbles on chance of more ECB action, Aussie perkier",neutral,negative,10
Sterling falls after surprise UK output dip,neutral,negative,7
Vegetable oil import may touch new record at 12.3 milllion tonnes,negative,positive,11
Swiss franc rises after SNB keeps rates on hold,neutral,positive,9
PNB: Asset quality improves but payout cut disturbing,neutral,positive,8
"NHAI tax-free bond closes tomorrow, grab a share now",neutral,positive,9
"Jet Airways back in black, posts Q1 net at Rs 226 crore",neutral,negative,12
"Euro wobbles on chance of more ECB action, Aussie perkier",neutral,negative,10
South Korean shares reverse early gains to close flat; won edges lower,neutral,negative,12
Gold dips but Malaysian plane downing seen aiding sentiment,neutral,negative,9
"IFC doubles rupee bond offering to Rs 2,000 crore",positive,neutral,9
ICRA upgrades rating of Thomas Cook India,positive,neutral,7
"Australian, New Zealand dollars slide vs sterling on early Scottish vote results",neutral,negative,12
Further 5 per cent fall on Dalal Street good to enter: Axis MF,neutral,positive,13
Aviva to raise stake in Indian joint venture to 49 per cent over an  'attractive' local market,positive,neutral,17
Weaker miners push Britain's FTSE lower; BP gains,positive,negative,8
Madura demerger not in the best interests of Aditya Birla Nuvo investors,negative,neutral,12
"OIJIF ups stake in NCDEX, buys more shares from Jaypee Capital Services",positive,neutral,12
Participate in power through other sectors: Vijai Mantri,neutral,positive,8
TV18 posts multi-fold decline in FY-11 net loss at Rs 20.11 crore,positive,negative,12
TPG keen to sell balance 10% in Shriram Transport Finance,negative,neutral,10
"BPCL's subsidiary strikes gas in Mozambique, stock up",neutral,positive,8
Kalindee Rail promoters plan to hike stake to avoid take over,positive,neutral,11
Prefer LIC Housing Finance from NBFC space: Gaurav Mehta,neutral,positive,9
"IT stocks fall after UBS downgrades Infosys to 'sell'; Wipro, TCS down over 1%",neutral,negative,14
Pipavav Defence rebounds after slipping over 4% as SEBI sought detail of trades prior to stake sale,neutral,positive,17
Gold crawls back on modest buying; silver edges lower,positive,negative,9
Northern Trust sells Satyam Computer shares worth Rs 84 crore,neutral,negative,10
Commodity market can create additional 5 mn jobs in 5 years',positive,neutral,11
"HSBC sees Sensex hitting 30,100 by December-end; top 10 stocks to bet on",neutral,positive,13
"Iraq fears hit European shares, German bond yields fall",positive,negative,9
Narayana Hruduyalaya IPO opens today; here's what experts say,positive,neutral,9
Valuation gap between mid and largecap IT stocks to narrow: Chokkalingam,neutral,negative,11
European stock rally stalls; DAX eyes record high,positive,negative,8
United Spirits tanks 8% as traders short sell on buzz that Diageo open offer to be around 53%,neutral,negative,18
"Valuations of banking stocks looking decent: Dhiraj Agarwal, Standard Chartered Capital Markets",positive,neutral,12
"Exercise caution, go light ahead of RBI policy review: Sandeep Wagle",neutral,negative,11
Trade steel stocks today: Deepak Mohoni,negative,neutral,6
"CERC order positive for Adani Power, Tata Power, say brokerages",neutral,positive,10
Star Network's Balaji exit sparks excitement in entertainment space: Deven Choksey,neutral,negative,11
Take long trades over Axis Bank: Mitesh Thacker,positive,neutral,8
Sensex starts on a cautious note; Nifty tests 6500 levels,positive,negative,10
"Punj Lloyd is a buy: Rohit Shinde, Nimbus Wealth Management",positive,neutral,10
Prefer TV Today over Zee in media space: P Phani Sekhar,neutral,positive,11
Volkswagen scandal: Motherson Sumi Systems allays investor fears,neutral,negative,8
"Colgate-Palmolive rallies nearly 3%, Marico hits 52-week high; Credit Suisse upgrades",neutral,positive,11
"As pessimism spreads, Nifty to correct further, say traders",positive,neutral,9
"IndusInd Bank presents an interesting entry opportunity for new investors: Phani Sekhar, Angel Broking",positive,neutral,14
"Dollar basks in post-payrolls glow, touches 7-year high vs yen",neutral,positive,10
Why Biocon's deal with Pfizer failed?,negative,neutral,6
CBI examines ex-Sebi chairman C B Bhave in MCX case,negative,neutral,10
"Citic Securities urges China's central bank to cut rates, reserve requirements",negative,neutral,11
European shares pause for breath ahead of data,neutral,negative,8
"ONGC, GAIL our top bets in OMCs: Tirthankar Patnaik, Religare Capital Markets",neutral,positive,12
NIF may turn co-plaintiff in Modern India suit against NSEL,negative,neutral,10
Jyoti Structures seeks shareholder permission to allow lenders convert debt into equity,positive,neutral,12
"There is a lot of positivity in the Nifty: Sandeep Wagle, APTART Technical Advisory Services",positive,neutral,15
"Coffee stocks in for some good times: Deepak Shenoy, Capital Mind",neutral,positive,11
"S&P 500, Nasdaq break 3-day slide but Dow dips",positive,negative,9
IDFC ex-MD Nikhil Vora fund gets first mega investor,neutral,positive,9
